incoming_found,incoming_length,incoming_start_x,incoming_start_y_from_centre,incoming_source_same_winner,incoming_seconds_before,incoming_high,incoming_low,incoming_ground,incoming_cross,incoming_switch,incoming_goal_kick,incoming_free_kick,incoming_corner,incoming_under_pressure,ahead_adv,behind_adv,central_adv,ahead_corridor_adv,behind_corridor_adv,mean_along_adv,flight_line_proximity_adv,winner_event_id
1.0,34.517532,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,-2.0798063611961286,0.020652216787069442,f29a38e2-625d-4aa5-a22d-fac08fb2427e
1.0,29.508305,5.799999999999997,39.900000000000006,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,3.6715138902135265,0.4145370099140806,ccdbd3d2-7994-4805-8db2-c68c23cca1da
1.0,55.19393,65.3,23.5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,2.40754317721796,0.007468756453906817,98417e3c-ad89-40cb-a447-09425951698f
1.0,37.86357,43.3,4.5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.7181328700994278,0.11224722790638407,b3bc3b0c-0bc2-42ec-b654-ed46e252c18b
1.0,13.301504,44.8,12.399999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,2.0,-1.0,-2.0,1.0,-6.415095077467292,0.5912976616069868,aff0df7d-c4a4-4013-aa89-e510e2b9c1a3
1.0,19.4,6.0,26.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0594870292758243,0.09556255656487167,bbb19143-b100-487d-979b-36f66e5cdff3
1.0,54.664886,49.3,35.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,2.0,-3.079020257821014,0.036168433651762553,908f2137-a79d-4fd7-9f29-a3ef2d6119b4
1.0,65.756294,104.8,10.100000000000001,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,6.060055634833873,0.5734883472502699,d4a220ce-abcc-4566-b57c-2c94704be0b1
1.0,55.60036,86.2,32.900000000000006,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.403087005483261,0.5283122656503172,16dd3a50-6c75-448e-8afb-e32f49082ee6
1.0,55.60036,86.2,32.900000000000006,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,0.0,1.0,0.0,3.655880502033272,0.013192908110947347,ac5ea7ab-b994-44dc-aa3d-c02f50ab7d78
1.0,67.07168,110.1,8.399999999999999,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,-2.0,2.0,5.8206990152526705,0.7905716755136514,aaa3a0f2-f53e-42bb-a2e3-8df57551dd9c
1.0,44.3158,78.0,9.399999999999999,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.531723499079167,0.26525323754564173,d3763726-44a0-4101-9eee-fb741a4eae9d
1.0,79.45817,106.5,13.200000000000003,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,-1.0,4.871437192066998,0.465790685913393,ea5832b9-7ab1-45fe-a792-4e8bc3e2b85e
1.0,49.703117,109.2,8.399999999999999,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.576970277275148,1.0660128531661741,c47495c0-bbcd-47c3-bec5-a5c786278d4b
1.0,27.542875,28.400000000000006,11.100000000000001,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.6579939358637716,0.008601125968809596,35bd2b7c-a817-4fa8-b6c4-85fc4c57b15d
1.0,19.210674,37.3,1.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,-2.3536940876658066,0.256798067368519,d263c522-36cd-4beb-999d-c05d36200d02
