match_id,competition,season,winner_event_id,split,target,winner_event_type,is_clearance,contest_x,contest_y,coverage_15m,loser_source_proxy,contestant_distance,nearest_winner_support,nearest_loser_support,second_winner_support,second_loser_support,winner_support_spread,loser_support_spread,winner_angular_concentration,loser_angular_concentration,support_centroid_gap,pass_length,pass_is_high,pass_is_low,winner_centroid_dx,winner_centroid_dy,loser_centroid_dx,loser_centroid_dy,winner_support_5m,loser_support_5m,support_advantage_5m,winner_support_10m,loser_support_10m,support_advantage_10m,winner_support_15m,loser_support_15m,support_advantage_15m
3930180,UEFA Euro,2024,6c22252f-f8d7-4781-9711-a11835585a14,train,0,Pass,0,57.5,47.0,0.9441705238786724,0,0.7443817480180244,3.7973425696362177,1.6597010680026134,4.727413165943355,11.63482862828583,8.70868271529864,8.99763830431615,0.3122953915359646,0.39799662499505,2.098427388479793,17.172361,1,0,3.6640953205836446,-0.9369867825994346,5.378445200284766,-2.147111567359616,2,1,1,3,1,2,6,4,2
3930180,UEFA Euro,2024,7fdc50ab-bdc4-40a2-a05f-375eaab184cc,train,1,Pass,0,57.3,10.6,0.8057215925501051,0,0.6170436681693752,1.3389920530548363,11.364377096560984,6.892184762869912,,6.680591890479071,0.0,0.4126499884493539,1.0,10.883734541304282,11.013628,0,1,1.9963542883515952,1.4309260860508601,9.083884221074342,-6.828771064471004,1,0,1,3,0,3,4,1,3
3930180,UEFA Euro,2024,968ba808-7de3-45bb-899e-e84831a94c56,train,0,Pass,0,69.3,24.9,0.9699481033123803,0,1.9264557705675451,7.808942473100799,2.9435805907191237,8.567688346153982,9.283996402998609,8.85104369359643,6.020080298103454,0.32601884495062045,0.2039778431236081,1.8948706231401296,17.145262,1,0,4.060299973475925,0.13952232496987568,2.91146070181361,1.646407525084955,0,1,-1,2,2,0,3,2,1
3930180,UEFA Euro,2024,d038009e-c37c-483f-90f4-c534ecc4c2cd,train,0,Pass,0,66.7,20.0,1.0,1,0.8536692216222059,11.3765626567755,12.826971544966684,14.36832205063453,14.98741040205345,11.97120429505035,12.818354894511756,0.3700998210897518,0.3890623253174527,3.355320832339089,18.369812,1,0,-2.195802119371457,4.45040998065083,1.0205598318784475,5.406021662496853,0,0,0,0,0,0,2,2,0
3930180,UEFA Euro,2024,c78d97cd-701c-4233-a953-9d5a7b8a97f5,train,1,Pass,0,58.1,20.2,0.8926175315027031,0,1.8352245651776464,6.076680666927406,12.89969692291961,10.991863992327122,13.323639564694595,8.612980585457993,6.796483757185384,0.5094936595743672,0.8552780059066497,7.762891852179765,26.29753,0,1,3.645881260310304,2.5162872977588493,4.623061217157684,10.217430670049403,0,0,0,1,0,1,3,2,1
3930180,UEFA Euro,2024,83f0f86c-1128-4ce5-bb12-9c1f3a93ea42,train,0,Pass,0,33.4,48.5,0.9295589392052486,0,1.2282837842221808,7.816675324632714,11.652535969784582,9.702727700457938,13.211052922866855,9.823963526163249,7.533711493171139,0.3169522052038339,0.7970292976303892,8.458649401827984,13.984634,0,1,2.830081753950497,0.32133715590559575,5.219376498968735,8.435523518349655,0,0,0,2,0,2,3,2,1
3930180,UEFA Euro,2024,56205f98-3ea5-4a53-8fc4-39a49d6a0e75,train,0,Pass,0,70.1,72.2,0.7904666781508563,0,2.2675811351757034,2.3983125804009444,7.6944976612406455,5.556842765616989,,8.638480640342484,0.0,0.09733096680280823,1.0,5.686208028196839,17.334936,1,0,3.9000484280733163,-0.8113059139935757,6.375648452805862,4.30771413455814,1,0,1,3,1,2,5,1,4
3930180,UEFA Euro,2024,171ba71c-b61b-4b37-b390-be4dc3ece88e,train,0,Pass,0,59.0,35.5,1.0,0,0.8124514979165872,11.914830709663432,12.45753746383453,12.102093880022952,,6.702263286177243,0.0,0.8297798508733575,1.0,4.318768745585304,14.094325,1,0,-0.7432607093078545,9.936758219921309,-4.765239588642956,11.510114305499783,0,0,0,0,0,0,2,1,1
3930180,UEFA Euro,2024,c0d94888-c60b-4b0c-bafb-40fe0979eb79,train,1,Pass,0,48.7,51.3,1.0,0,1.2089200160512392,8.422043074638468,9.500133669467228,14.717397395560193,,9.933179164211758,0.0,0.5752553094894445,1.0,5.4216172959694,33.582882,1,0,1.9294619601050087,-6.115319695677677,7.350221262706405,-6.018869256513511,0,0,0,1,1,0,3,1,2
3930180,UEFA Euro,2024,75c79e44-4611-4ad1-a5f2-4178563e22ab,train,0,Pass,0,68.3,52.8,0.9729602899823969,0,1.1923004354615634,5.635246934494595,4.889512151551649,7.1452722931517885,8.925955470610525,8.071380459828273,8.77303239284528,0.42074411724365546,0.4343895012553883,4.229209716116676,9.4371605,0,1,-0.39518138629403127,-4.29993177259055,3.828239923540427,-4.078736694589523,0,1,-1,3,2,1,5,5,0
